tidak_baku,kata_baku
🇧‌🇨‌🇦‌,BCA
menyebalkanmasa,menyebalkan masa
trsudh,terus sudah
trsmasa,terus masa
performanya,kinerjanya
req,permintaan
goodgak,baik tidak
imel,email
masukparah,masuk parah
apkgk,aplikasi tidak
mbcaperbaiki,myBCA perbaiki
busyettt,buset
bngtmau,banget mau
product,produk
statanent,pernyataan
iklanwajahtersenyumlebardanmatatertutup,senang
mengeluhkan,mengeluh
benerbener,benar-benar
ygvmau,yang mau
akutapi,aku tapi
permuknya,permukaannya
sulitcanggih,sulit canggih
paycontactless,bayar tanpa kontak
muantaaap,mantap
qcnya,QC-nya
mangen,kangen
activation,aktivasi
usahlah,tidak usah
beut,banget
promoan,promosi
ngeprank,menipu
nginstal,menginstal
amsyong,gagal
daritadi,dari tadi
kelemparnya,terlemparnya
penerangan,penjelasan
aplokasinya,aplikasinya
wajaht,wajah
asem,asam
agama,agama
noktivasi,notifikasi
delivery,pengiriman
sekalibiaya,sekali biaya
rupia,rupiah
pulahadehhh,pula aduh
berproses,berproses
erorrrr,kesalahan
sehh,sih
wajahbersungguhsungguhwajahbersungguhsungguhwajahbersungguhsungguh,berusaha
susahhhhh,sangat susah
pollll,sangat
zonkk,tidak beruntung
mulumana,mulut mana
loginhadehhhhh,masuk aduh
gap,celah
yaklo,ya kalau
lgn,masuk
linkanejny,link anehnya
emailkonfirmasi,email konfirmasi
emailcs,email layanan pelanggan
haringengong,hari bengong
ngengong,bengong
mcdnya,McDonald's nya
superkecewa,sangat kecewa
reputasi,reputasi
dibangun,dibangun
bertahuntahun,bertahun-tahun
qrisusul,QRIS susul
sbge,sebagai
bk,bank
kq,kok
vampire,vampir
pertanyaannya,pertanyaannya
hadeuuuuh,aduh
sayangi,menyayangi
bawahan2nya,bawahannya
omg,oh Tuhan
3x24,tiga kali dua puluh empat
piyee,bagaimana
tow,tunggu
burukpulsa,buruk pulsa
kalitetap,kali tetap
gut,baik
mambantu,membantu
fulsa,pulsa
ultahnya,ulang tahunnya
inisih,ini sih
klaim,klaim
iklanin,iklan
raisa,Raisa
kredivowajahtersenyumlebardanberkeringat,senang
memebantu,membantu
bosjempolkebawah,bos jempol ke bawah
registerlog,registrasi masuk
jir,anjir
dibicarakan,dibicarakan
dibagikan,dibagikan
bobroknya,buruknya
masuklogin,masuk
maqin,makin
opst,ops
smsku,pesan singkatku
buseh,buset
mencobanya,mencobanya
bikinsudah,bikin sudah
baguuuuuss,bagus
berwarna,berwarna
kereeeeenn,keren
apaansih,apa sih
buset,buset
2k,dua ribu
notifikasijadi,notifikasi jadi
ketahui,ketahui
virikasi,verifikasi
bagusregistrasi,bagus registrasi
blokirmana,blokir mana
nyaendingnya,akhirnya
gagalmana,gagal mana
mantaaaaff,mantap
40k,empat puluh ribu
lahtiap,lah tiap
kenakan,kenakan
pulsaapa,pulsa apa
anudh,anu sudah
kuotaajadi,kuota jadi
paketangk,paket yang
sepertnyai,sepertinya
ribetwajahkecewanamunlega,kecewa
mantapppjabattangan,mantap
emailkintil,email jelek
hilangdan,hilang dan
bertele2,bertele-tele
daftar2,daftar-daftar
atmitu,ATM itu
semuasorry,semua maaf
sempurnasoalnya,sempurna soalnya
versiminta,versi minta
updatelangsung,perbarui langsung
ajaheranudah,saja heran sudah
lagislalu,lagi selalu
south,Selatan
afrika,Afrika
pakbu,bapak ibu
advise,saran
bintangmediumputihbintangmediumputihklo,biasa saja
aqw,saya
bintangnyaa,bintangnya
lega,lega
gaberes,tidak beres
kemanan,keamanan
ngambilnya,mengambilnya
fintech,teknologi finansial
dipikirin,dipikirkan
selebih,selebihnya
baikmelipattanganmelipattangan,terima kasih
firaun,firaun
sarjana,sarjana
susahbmendapatkan,susah mendapatkan
banyaknya,banyaknya
telemarketing,pemasaran melalui telepon
ai,kecerdasan buatan
kanca,teman
thermal,termal
kriling,keliling
sehinga,sehingga
masukmudah2an,masuk mudah-mudahan
terbilang,terbilang
berharihari,berhari-hari
lolos2,lolos-lolos
mengenakkan,menyenangkan
sinis,sinis
terjangkau,terjangkau
keinginannya,keinginannya
nabungnya,menabungnya
gagalllll,gagal
gagallll,gagal
empat×,empat kali
tiga×,tiga kali
bisaaaa,bisa
digunan,digunakan
sekuat,sekuat
miliki,memiliki
putuskan,memutuskan
unisntall,uninstall
poses,proses
factory,pabrik
wasting,membuang
approval,persetujuan
disiapin,disiapkan
pasar,pasar
persaingan,persaingan
disegerakan,disegerakan
jempolkeataswajahtersenyumdengan3hati,suka
updatan,pembaruan
pulsakalo,pulsa kalau
nasbah,nasabah
kecewapotongan,kecewa potongan
banyakmesin,banyak mesin
mybcatidak,myBCA tidak
terparahhh,terparah
sms1000x,pesan singkat seribu kali
sori,maaf
kajadian,kejadian
setatus,status
biayaya,biaya
riwayatnya,riwayatnya
tersaksi,tersaksi
nlfn,telepon
trusaneh,terus aneh
jaraknya,jaraknya
tembelek,tembel
gangguannya,gangguannya
gondok,kesal
berpenghuni,berpenghuni
jangankan,jangankan
beresin,bereskan
bersolusi,berikan solusi
rekannya,rekannya
umur,umur
danaku,danaku
senasib,senasib
loug,log
sendirilogin,sendiri masuk
pulsagk,pulsa tidak
login2gk,masuk tidak
ngilang,hilang
maafseharusnya,maaf seharusnya
uangsaldo,uang saldo
keluarinfo,keluar info
pen,pulpen
setelahnya,setelahnya
nyakalau,nya kalau
nyatrimakasih,nya terima kasih
cukupmohon,cukup mohon
legend,legenda
1080hd,seribu delapan puluh HD
lom,lompat
dehwajahmenangiskeraswajahmenangiskeras,sedih
dilarang,dilarang
kadang2,kadang-kadang
anggotanasabah,anggota nasabah
paylaterkriteria,kriteria bayar nanti
penalian,penilaian
hoki,keberuntungan
mintanya,memintanya
atmaelah,ATM
input2,input
dafrat,daftar
mengatas,mengatasnamakan
namakan,mengatasnamakan
3th,tiga tahun
logintruss,masuk terus
tibamasuk,tiba masuk
lagingabisin,lagi menghabiskan
nyampe²,sampai-sampai
hadeehhh,aduh
nyalupa,lupa
merugi,merugi
1500sms,seribu lima ratus pesan singkat
memeras,memeras
inijaringan,ini jaringan
ajapulsa,saja pulsa
jancokk,kasar
diinput,diinput
sekalibad,sekali buruk
ibubpk,ibu bapak
rangkasbitung,Rangkasbitung
kntr,kantor
kerjain,mengerjakan
pusla,pulsa
dikomen,dikomentari
berkaali2,berkali-kali
book,pesan
database,basis data
indentitas,identitas
kelas,kelas
ekslusif,eksklusif
vdrifikasi,verifikasi
ngulang2,mengulang-ulang
awalribet,awal rumit
aktifnya,aktifnya
sampao,sampai
abalabal,abal-abal
oranglain,orang lain
ribeddss,rumit
padahak,padahal
sucves,sukses
verifukasi,verifikasi
kiri,kiri
kana,kanan
durasi,durasi
harusny,harusnya
memprmudah,mempermudah
sematkan,sematkan
robotok,robot
wajahselalu,wajah selalu
anjwengg,kasar
ampass,ampas
karyawannya,karyawannya
bermain,bermain
kelebihanya,kelebihannya
ainya,airnya
lancarr,lancar
sedikitpun,sedikit pun
monitor,memantau
vermukdeteksi,deteksi wajah
apadah,apa
pulsavia,pulsa melalui
tertawaterbahakbahakwajahtersenyumlebardanberkeringat,tertawa
amoun,jumlah
bisalogin,bisa masuk
myxl,kartu internet
pemindaian,pemindaian
5000rb,lima ribu
menawan,menawan
dab,dan
turuti,turuti
kapan2,kapan-kapan
awalmasa,awal masa
control,kendali
mbank,mobile banking
trus2,terus-terus
kanepa,kenapa
sesulit,sesulit
masbrooooooo,mas bro
trz,terus
meternya,meternya
djoko,Djoko
suyanto,Suyanto
mengatakan,mengatakan
fkg,Fakultas Kedokteran Gigi
ugm,Universitas Gadjah Mada
yogyakarta,Yogyakarta
masing2,masing-masing
kdg,kadang
benerr,benar
emali,email
melongo,melongo
ditanyaa,ditanya
susaaaaaaah,susah
rekam,rekam
jalanaplikasi,jalan aplikasi
playlaternya,paylaternya
ig,Instagram
terlengkpa,terlengkap
pernh,pernah
dala,dalam
apapunbca,apapun BCA
gontaganti,gonta-ganti
mengutamakan,mengutamakan
kepraktisan,kepraktisan
tolakkenapa,tolak kenapa
konl,kontrol
60rb,enam puluh ribu
datadiri,data diri
simak,simak
trasferan,transferan
sampahpulsa,sampah pulsa
dafyar,daftar
reaktivasi,reaktivasi
authenticator,autentikator
krmn,kemarin
jatim,Jawa Timur
apaann,apaan
wahh,wah
pemerasan,pemerasan
rugii,rugi
diperintahkan,diperintahkan
pembayaraan,pembayaran
bermaslah,bermasalah
upss,ups
pinjmn,pinjaman
telkom,Telkom
woylah,woy lah
wajahagakcemberut,kecewa
lain²,lain-lain
pingin,ingin
running,berjalan
eeeeeee,eh
berkahaamiin,berkah amin
vid,video
woii,woi
mendownloodnya,mengunduhnya
vrfkasi,verifikasi
terusjadi,terus jadi
bgusssssss,bagus
previkasi,praverifikasi
maintenis,pemeliharaan
veryfikasi,verifikasi
sucses,sukses
terdesak,terdesak
bagusyang,bagus yang
transferbeda,transfer beda
loginsinyal,masuk sinyal
tanggalbulantahun,tanggal bulan tahun
jammenitdetik,jam menit detik
sekarangmantap,sekarang mantap
slama,selama
wajahtersenyumlebardanmatatertutup,suka
sndiricapek,sendiri capek
buatmsuk,buat masuk
pqyah,payah
sipel,simple
fahamisukses,fahami sukses
groupdi,grup di
livatau,live atau
liv,live
hduh,aduh
nyampai,sampai
lancaraja,lancar saja
hih,hih
permanen,permanen
keblokirwajahgembiraberuraiairmata,sedih
gbisaanehh,tidak bisa aneh
kocakkkkkk,lucu
seharusny,seharusnya
mbcamybca,myBCA
minmelipattangan,admin melipat tangan
semalempadahal,semalem padahal
aktivasikmaren,aktivasi kemarin
loginknapa,masuk kenapa
sihhjelek,sih jelek
bcaampe,BCA sampai
berpuluh,berpuluh-puluh
sendiridan,sendiri dan
didapatkan,didapatkan
1680hadeh,seribu enam ratus delapan puluh aduh
tolongapa,tolong apa
disembunyikan,disembunyikan
ketikajadi,ketika jadi
rekeningsaya,rekening saya
tto,tetap
ih,ih
sudi,sudi
regstrasi,registrasi
dirimelipattangan,diri melipat tangan
balasansampah,balasan sampah
gjlas,tidak jelas
eehh,eh
ngrribetinnn,meribetkan
terooos,terus
burek,buram
pecah,pecah
trmasuk,termasuk
cepatjempolkeataswajahtersenyumdengan3hati,biasa saja
asuuuu,sialan
debiturwajahtersenyumdengan3hati,biasa saja
sedikit²,sedikit-sedikit
membuangbuang,membuang-buang
perhatiin,perhatikan
cukiiiiii,cukup
sebentar,sebentar
selesainya,selesainya
otpudh,OTP sudah
50x,lima puluh kali
sekalk,sekali
otpvia,OTP melalui
whatss,WhatsApp
uphadeuh,aduh
verifiy,verifikasi
macemnya,macamnya
susahh,susah
ojol,ojek online
karya,karya
bangsa,bangsa
wajahgembiradenganmatabahagiamelipattangan,gembira
adminya,adminnya
initerus,ini terus
pribadisy,pribadinya
huhungin,hubungi
angkatmohon,angkat mohon
responterima,respon terima
biarkan,biarkan
unstal,uninstall
kategorinya,kategorinya
edit2,edit-edit
second,kedua
terbaikkk,terbaik
banyakdri,banyak dari
mbcatambah,myBCA tambah
ganda,ganda
resgistrasi,registrasi
idwajahtersenyumdenganairmata,biasa saja
playleter,paylater
terushuhtolong,terus hujan tolong
tawakal,tawakal
sebelahkalo,sebelah kalau
foce,paksa
maa,maaf
tabungannya,tabungannya
mobiletangandenganjaritelunjukdanibujarimenyilang,biasa saja
aplikasidipilih,aplikasi dipilih
bisawajahmenangiskeras,biasa saja
kerentampilan,keren tampilan
losss,lepas
jempolkeatasjempolkeataspelayanan,suka sekali
okbayar,oke bayar
loginkalau,masuk kalau
menghargai,menghargai
cimb,CIMB Niaga
niaga,CIMB Niaga
akulaku,Akulaku
shopeepaylaterjenius,Shopee PayLater Jenius
indodana,Indodana
meengecewakanregistrasi,mengecewakan registrasi
repotpulsa,repot pulsa
diperbaikimerugikansangat,diperbaiki sangat merugikan
paksakan,memaksakan
bungkus,bungkus
nasi,nasi
aplikasiselalu,aplikasi selalu
smssedangkan,pesan singkat sedangkan
forclose,penutupan
letter,surat
bcaga,BCA
penokan,penolakan
kemudianahk,kemudian ah
llg,lagi
mantappemakaian,pemakaian mantap
fihak,pihak
office,kantor
ndm,NDM
1jam,satu jam
baterai,baterai
salahbenar,salah benar
lemon,lemon
membantusayang,sangat membantu
ij,izin
mybcafin,myBCA FIN
digitallis,digital
myasiafansial,myAsia Financial
tidakmelihatorangtepukjidat,capek
kaliluar,keluar kali
tuhaaannini,Tuhan ini
ginih,begini
bignya,besar
anjirrrrr,anjir
msi,masih
cobali,cobalah
ngisinya,mengisinya
rusaksaya,rusak saya
berhasilsukses,berhasil sukses
kecilpantas,kecil pantas
apaansi,apaan sih
insudah,ini sudah
asyik,asyik
kyg,seperti
gopayshopeepaydana,GoPay ShopeePay Dana
komplitsemoga,komplit semoga
perbankna,perbankan
bisa2yg,bisa-bisa yang
punyaku,punyaku
mantabjoossss,mantap
mulupdhl,mulut padahal
knpknppesan,kenapa pesan
bisawajahsangatmarahwajahsangatmarahwajahsangatmarahwajahsangatmarahwajahsangatmarah,marah
akseswajahkonyol,akses wajah konyol
playlaterada,paylater ada
keteranganterjadi,keterangan terjadi
pakaikalau,pakai kalau
diblokirhadehhh,diblokir aduh
aktipin,aktifkan
dounlout,unduh
krj,kerja
dimna,di mana
kaktpi,kak tapi
thanksjempolkeatasmelipattangan,terima kasih
aidik,audit
danamon,Danamon
rekening500000,rekening lima ratus ribu
budisatriana,Budi Satriana
perwira,perwira
verifikasiakun,verifikasi akun
seusai,sesuai
banyakverifikasi,banyak verifikasi
capeeeeujung,capek ujung
ampunnnnnn,ampun
mbankingmybca,mobile banking myBCA
kacauuuuumau,kacau mau
jawabannyaaplikas,jawabannya aplikasi
•aplikasi,aplikasi
•sms,pesan singkat
•tolong,tolong
blubca,BCA Blue
bcaxpresi,BCA Xpresi
•terimakasih,terima kasih
terhormatnapa,terhormat kenapa
penangan,penanganan
berhub,berhubungan
digunakankarena,digunakan karena
wajahtidurwajahtidur,wajah tidur
loginn,masuk
edan,gila
disetting,diatur
respin,respon
nemuin,menemukan
wajahtersenyumdenganairmatabca,capek
kintil,kontol
dlusoaly,dulu soalnya
pertanggal,per tanggal
bcacepat,BCA cepat
dibagian,di bagian
teknisi,teknisi
kutanya,saya tanya
walawe,astaga
seng,yang penting
gilaaaa,gila
login²,masuk-masuk
rijeck,ditolak
bulandi,bulan di
lagidri,lagi dari
tgl11,tanggal sebelas
pengajuanblum,pengajuan belum
penginputan,penginputan
dialamat,di alamat
terkahir,terakhir
ahmad,nama nasabah
ikbal,nama nasabah
outline,garis besar
parasit,parasit
kuatsemua,kuat semua
wajahkepanasanwajahkepanasanwajahkepanasanwajahkepanasanwajahkepanasan,marah
otpwajahkedinginanwajahkedinginanwajahkedinginanwajahkedinginanwajahkedinginan,capek
apo,apa
dio,dia
nyasdh,tidak
kaly,kali
lantak,biarkan
nyo,nya
dulujujur,dulu jujur
puluh×,puluh kali
gratiswajahmarah,marah
tidqk,tidak
wajahnyaa,wajahnya
aktivasilama2,aktivasi lama-lama
programer,programmer
bangetsekelas,banget sekelas
membantuuntuk,membantu untuk
57x,lima puluh tujuh kali
susan,nama nasabah
prosesnyailangin,prosesnya hilangkan
muluh,mulut
klikjempolkebawah,tidak suka
1aplikasinya,satu aplikasinya
dikonfirm,dikonfirmasi
dominan,dominan
finalisasi,finalisasi
checklist,daftar periksa
csonya,customer service
telephone,telepon
diberitahu,diberitahu
kdang,kadang
miar,biar
mengeceknya,mengeceknya
perguna,pengguna
pokonamah,pokoknya
c,si
ngalamiin,mengalami
bnr²,benar-benar
biodata,biodata
melaui,melalui
emailpdahal,email padahal
jelaslogin,jelas masuk
smsmenghubungkan,pesan singkat menghubungkan
smshabis,pesan singkat habis
benardiulang²,benar diulang-ulang
ajangabisin,saja menghabiskan
gabisa²,tidak bisa-bisa
dibuatkan,dibuatkan
ngabisain,menghabiskan
gagh,gagal
data2nya,data-datanya
cssudah,CS sudah
bisabca,bisa BCA
barjalan,berjalan
leway,lewat
payrool,payroll
seumur2,seumur hidup
fiturcatatan,fitur catatan
hayo,ayo
bagustampilan,bagus tampilan
sihgimana,sih bagaimana
sjbiar,saja biar
nyamannya,nyamannya
duniawajahberkedipwajahberkedipwajahberkedipwajahberkedipwajahberkedipwajahberkedip,oke
loyal,loyal
susahkatanya,susah katanya
smsselalu,pesan singkat selalu
gagaluda,gagal sudah
lahsinyal,lah sinyal
bugsama,bug sama
marah2,marah-marah
kebaca,terbaca
ribetndftr,ribet daftar
lampunya,lampunya
barubaru,baru-baru
mendatangkan,mendatangkan
kepercayaan,kepercayaan
pekerja,pekerja keras
keras,pekerja keras
bongkar,bongkar
hadeuhh,aduh
imput,input
karen,karena
ceklek,klik
sejelas,sejelas
hadapkan,menghadapkan
pulsasetiap,pulsa setiap
ngetiknya,mengetiknya
tuhwajahtersenyumdenganairmatawajahterlalulelahwajahterlalulelahwajahterlalulelah,menyesal
wajahsangatmarahwajahsangatmarahwajahsangatmarahwajahsangatmarah,marah
tiktok,aplikasi sosial media
pnbppenerimaan,penerimaan pajak
luncurin,mengeluarkan
benderaindonesiawanitamengenakanserbanwarnakulitcerahtangandiangkatdandirapatkanbersamamelipattangantangandiangkatdandirapatkanbersamawanitamengenakanserbanwarnakulitcerahbenderaindonesia,biasa saja
adehh,aduh
terjdi,terjadi
menitan,menit
terushabis,terus habis
5rbu,lima ribu
rejeki,rejeki
dubuka,dibuka
cengtang,centang
menyebalkansudah,menyebalkan sudah
ehhhkeblokir,eh keblokir
penyelesaiannyahapus,penyelesaiannya hapus
permasalahnburuk,permasalahan buruk
miui,MIUI
dulubikin,dulu bikin
kantorgak,kantor tidak
mobilepadahal,mobile padahal
cam,kamera
nyapas,kenapa pas
bootlop,bootloop
slowrespon,respon lambat
bungaaasss,bunga
menitwajahdenganmatakeatas,pusing
pertipikasi,sertifikasi
amsmales,sangat malas
makenyajuga,memakainya juga
begitugak,begitu juga
joos,mantap
iijii,izin
wajahtidur,capek
sett,set
pinpass,pin sandi
terlah,terlalu
laman,halaman
yailah,ya Allah
gbsa2,tidak bisa-bisa
ajeeee,saja
onlinebiar,online biar
folder,folder
tauuang,tahu uang
manadi,mana di
kehadir,kehadiran
mybcaterimaksih,myBCA terima kasih
diperangkatt,di perangkat
haeduh,aduh
bginisuruh,begini suruh
benerinlah,benarkan lah
bcamelipattanganjempolkeatasjempolkeatas,suka
jempolkeataswarnakulitcerahjempolkeataswarnakulitcerah,suka
habisrekening,habis rekening  
dapur,dapur  
diwaktu,di waktu  
mnggunakn,menggunakan  
anjingg,anjing  
evoucher,e-voucher  
yap,ya  
lancarsudah,lancar sudah  
keci,kecil  
s20fe,Samsung S dua puluh Fan Edition  
xiaomi,Xiaomi  
fc,Face Cam
emaile,email  
tololpadahal,tolol padahal  
ulangdan,ulang dan  
lagingemis,lagi menangis  
tetaptandasilang,tetap tanda silang  
tandasilangverifikasi,tanda silang verifikasi  
uy,hai
weh,weh  
terikirimkacau,terkirim kacau  
susahregistrasi,susah registrasi  
habisss,habis  
pend,pendaftaran  
verifikasiujung²,verifikasi ujung-ujungnya  
rekeningmutasi,rekening mutasi  
search,cari  
kencengan,kencang  
rupa,rupa  
brengseekk,brengsek  
inipas,ini pas  
kecil2,kecil-kecil  
kebanyakkan,kebanyakan  
trfnya,transfernya  
kontolllllllllllllll,kontol  
identifikasi,identifikasi  
terus2anudh,terus-terus sudah  
benerhari,benar hari  
sia2ribettttttt,sia-sia ribet  
bwat,buat  
updatewajahmenangiskeras,sedih
kd,kode  
plntoken,token PLN  
pnjem,pinjaman  
paylatenyako,paylaternya kok  
mintak,minta  
nyushin,menyusahkan  
pngenalan,pengenalan  
kmdian,kemudian  
pinjamannya,pinjamannya  
begoo,bodoh  
mantuljempolkeatasjempolkeatasjempolkeatas,mantap
aplikaainya,aplikasinya  
melulusialan,melulusi alan  
gatauu,tidak tahu  
thxuu,terima kasih  
sbnrnya,sebenarnya  
jringan,jaringan  
memfinalisasi,memfinalisasi  
saatorangmembungkukmelipattangan,capek
lahbulan,lah bulan  
upd,update  
rencana,rencana  
rec,rekaman  
lainsudah,lain sudah  
jelaa,jelas  
urusan2,urusan-urusan  
450k,empat ratus lima puluh ribu  
fiturx,fiturnya  
kalender,kalender  
trsssssss,terus  
duitt,duit  
herannn,heran  
dehgercep,deh gercep  
fungsionalitas,fungsionalitas  
nyajempolkeatasjempolkeatasjempolkeatasjempolkeatas,suka
ambo,saya
kecil²,kecil-kecil  
perih,perih  
liatnya,lihatnya  
khawatirkan,khawatirkan  
bayartransfer,bayar transfer  
mmbuat,membuat  
segalaa,segala  
umumnya,umumnya  
dongmasak,dong masak  
bula,bulan  
kwlitas,kualitas  
kacauuu,kacau  
henteu,tidak  
nyieun,membuat  
berahir,berakhir  
alhamddulilah,alhamdulillah  
uwang,uang  
wajahmerenungwajahmerenung,sedih
dulukenapa,dulu kenapa  
tolakterima,tolak terima  
whatsappgmail,WhatsApp Gmail  
okeh,oke  
tambhkan,tambahkan  
menjadwalkan,menjadwalkan  
sekalipun,sekalipun  
altif,aktif  
duahati,dua hati  
pgn,ingin  
tmbahin,tambahkan  
wajahberkacamatahitamwajahberkacamatahitamwajahberkacamatahitamwajahberkacamatahitam,keren
gunainnya,menggunakannya  
updeat,pembaruan  
skaliiii,sekali  
kuning,kuning  
memperlancar,memperlancar  
yakasian,ya kasihan  
jeda,jeda  
diwajibkan,diwajibkan  
buwat,buat  
menemui,menemui  
bcajuga,BCA juga  
tolakgk,tolak tidak  
accku,akun saya  
tolongdong,tolong dong  
adminny,adminnya  
kaliwajahsangatmarah,marah
capekk,capek  
orangtepukjidatjempolkebawah,capek
keuntungan,keuntungan  
pesawathotelbliblicomkado,pesawat hotel Blibli dot com kado  
ucapandllmybca,ucapan dan lain-lain myBCA  
memulih,memulihkan  
terbelokirtapi,terblokir tapi  
pulih,pulih  
terbelokirkenapa,terblokir kenapa  
demikiantolong,demikian tolong  
cellular,seluler  
bermasalahwajahmenangiskeraswajahmenangiskeraswajahmenangiskeraswajahmenangiskeras,menyesal
wajahkepanasanwajahtersenyumsombongtertawaterbahakbahak,biasa saja
baih,baik  
perlahan,perlahan  
berkedok,berkedok  
amit²,amit-amit  
kapitalis,kapitalis  
trbesar,terbesar  
kcu,KCU  
11rb,sebelas ribu  
hacker,peretas  
milyard,miliar  
bayamgin,bayam gin  
cairkan,cairkan  
ceknya,cek nya  
hack,meretas  
toeble,tubel  
mantapberguna,mantap berguna  
gagaludah,gagal sudah  
5xsangat,lima kali sangat  
merepotkannunggu,merepotkan menunggu  
bagustp,bagus tapi  
terimanya,terimanya  
pokoejempolkeatasjempolkeatas,suka
sejahterah,sejahtera  
saatregistrasi,saat registrasi  
tolongperbaiki,tolong perbaiki  
jloss,lolos  
biang,biang  
embeking,membeking  
gayaan,gaya-gayaan  
satukenapa,satu kenapa  
apkmbcahallobcamybcakan,aplikasi myBCA halo BCA myBCA kan  
semuatoh,semua  
bedatransfertariksetorcek,beda transfer tarik setor cek  
saldobelanja,saldo belanja  
important,penting  
trimkasi,terima kasih  
kopi,kopi  
kenangan,kenangan  
setoran,setoran  
klise,klise  
sussahnya,susahnya  
progresnya,progresnya  
siang²,siang-siang  
30menitan,tiga puluh menitan  
benernya,benarnya  
baguscm,bagus cuma  
pastilah,pastilah  
maurepot,mau repot  
perpesanan,perpesanan  
danashoopepay,dana ShopeePay  
dllsupaya,dan lain-lain supaya  
lagikalo,lagi kalau  
tlf,telepon  
personal,personal  
assisten,asisten  
yha,ya  
memuaskanketika,memuaskan ketika  
cepatramah,cepat ramah  
mengarahkan,mengarahkan  
notabene,notabene  
ketidaktahuan,ketidaktahuan  
nasabahpokol,nasabah pokok  
lgkap,lengkap  
cupu,cupu  
bgttrus,banget terus  
menuyyg,menu yang  
satupunpulsa,satupun pulsa  
kecewasudah,kecewa sudah  
baheula,zaman dahulu  
cpat,cepat  
ditmbahin,ditambahin  
dignti,diganti  
terbaiks,terbaik  
sekalisimpel,sekali simpel  
persetujuannya,persetujuannya  
tumben2an,tumben-tumbenan  
doangtapi,doang tapi  
ngaitin,mengaitkan  
alasannyasudah,alasannya sudah  
ida3,ida tiga  
kehubunganeh,kehubungan aneh  
lengkapmasih,lengkap masih  
menggandakan,menggandakan  
titiknya,titiknya  
camenya,kameranya  
terdeketsi,terdeteksi  
duakali,dua kali  
bertan,bertanya  
tegas,tegas  
dalammelayani,dalam melayani  
drama,drama  
tekorrr,tekor  
masukwajahlega,masuk wajah lega  
gemagus,gemas bagus  
lan,lan  
dumeh,karena  
musik,musik  
yutob,YouTube  
brimoparah,Brimo parah  
wahhh,wah  
benerudh,benar sudah  
vangke,kasar  
transaksiwajahtersenyumdengan3hatiwajahtersenyumdengan3hati,suka
depelover,pengembang  
atao,atau  
1100sms,seribu seratus pesan singkat
dam,dam  
parword,kata sandi  
gagalpadahal,gagal padahal  
parahmau,parah mau  
teruspulsa,terus pulsa  
meang,memang  
dipersulitlah,dipersulit lah  
gjo,kerja bagus  
ec,sertifikat elektronik
butuhan,kebutuhan  
sarana,sarana  
aplikasisemoga,aplikasi semoga  
ribetkan,meribetkan  
sblmny,sebelumnya  
bcamobilecek,BCA Mobile cek  
nsk,notifikasi  
riwayattp,riwayat tetapi  
lmbt,lambat  
msknyabaru,masuknya baru  
heitidak,hei tidak  
atmminta,ATM minta  
kerabat,kerabat  
isikan,isikan  
jmlh,jumlah  
brilliant,brilian  
pnbpmpn,PNBP MPN  
g2,generasi dua  
mudah2x,mudah-mudahan  
seengak,seenggaknya  
penipuansudah,penipuan sudah  
wajahmenyeringai,senang
tokope,Tokopedia  
tolaksaya,tolak saya  
sebwlumnya,sebelumnya  
daftarpastikan,daftar pastikan  
ditarik,ditarik  
gagal³,gagal-gagal  
teruspdhl,terus padahal  
begal,perampokan  
baru2,baru-baru  
50rbuan,lima puluh ribuan  
col,panggilan  
kedetek,terdeteksi
terusssdah,terus sudah
analisis,analisis
okrex,oke
sial,sial
menipu,menipu
enggk,enggak
aktif2,aktif-aktif
lemotmuter,lemot muter
terusmengecewakan,terus mengecewakan
kebutuhn,kebutuhan
lamaleletbikin,lama lelet bikin
mbngking,membingungkan
lumyan,lumayan
elktp,e-KTP
nyet,nyet
anjingggg,anjing
dhh,dah
berbulan2,berbulan-bulan
muluuuu,melulu
nyetttt,nyet
sanggup,sanggup
sewa,sewa
mahalan,mahal
lahhhh,lah
byebye,bye-bye
ngertii,ngerti
ngendap,mengendap
18rb,18 ribu
kurangin,kurangi
lob,lob
1bulan,1 bulan
verifaksi,verifikasi
nikmat,nikmat
responsnya,responsnya
tau²,tahu-tahu
ginidi,gini
muamalat,muamalah
trading,trading
sekunder,sekunder
menentu,menentu
berubahubah,berubah-ubah
penutupannya,penutupannya
bei,BEI
ikutidan,ikuti dan
aktivasikecewa,aktivasi kecewa
layan,layanan
bintangny,bintangnya
sengat,sangat
menbatua,membatu
wajahdenganmataberbentukbintangwajahdenganmataberbentukbintangwajahdenganmataberbentukbintangwajahdenganmataberbentukbintangwajahdenganmataberbentukbintang,gembira
provisioning,provisioning
oy,oi
ngrepotin,merepotkan
cesy,cesy
cabangdi,cabang di
menyelak,menyela
pembicaraan,pembicaraan
intonasi,intonasi
menyepelekan,menyepelekan
lawan,lawan
satpam,satpam
sajawajahmerenung,saja wajah merenung
atam,atap
kna,kena
istal,istal
gima,gima
singkatdan,singkat dan
pembeliannta,pembeliannya
gas,gas
acoun,akun
stuk,stuk
formasi,formasi
tiru,tiru
apapunthanks,apa pun terima kasih
2melipattanganwarnakulitcerah,baik
nnboxu,nnboxu
bdnbji,bdnbji
mbps,Mbps
ngedotlot,mengotot lot
bcaaidi,BCA ID
mlek,melek
supanya,supaya
kerna,karena
recehan,recehan
